圏域,カード種別,【入場】圏域,【入場】事業者名,【入場】路線名,【入場】駅名,【入場】都道府県,【入場】市町村区,【入場】時間帯,【出場】圏域,【出場】事業者名,【出場】路線名,【出場】駅名,【出場】都道府県,【出場】市町村区,所要時間（５分単位）,人数
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,要町,東京都,豊島区,7,1.首都圏,東京地下鉄,銀座線,赤坂見附,東京都,港区,25,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,淡路町,東京都,千代田区,13,1.首都圏,東京地下鉄,日比谷線,築地,東京都,中央区,15,2
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,日本橋,東京都,中央区,16,1.首都圏,東京地下鉄,千代田線,代々木公園,東京都,渋谷区,30,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,飯田橋,東京都,千代田区,22,1.首都圏,東京地下鉄,丸ノ内線（１）,後楽園,東京都,文京区,10,7
1.首都圏,Suica,1.首都圏,東京地下鉄,有楽町線,小竹向原,東京都,練馬区,9,1.首都圏,東京地下鉄,有楽町線,小竹向原,東京都,練馬区,0,2
1.首都圏,Suica,1.首都圏,東京地下鉄,有楽町線,市ケ谷,東京都,新宿区,16,1.首都圏,東京地下鉄,有楽町線,辰巳,東京都,江東区,20,3
1.首都圏,pasmo,1.首都圏,東京地下鉄,南北線,王子,東京都,北区,12,1.首都圏,東京地下鉄,南北線,王子神谷,東京都,北区,5,4
1.首都圏,Suica,1.首都圏,東京地下鉄,有楽町線,新富町,東京都,中央区,16,1.首都圏,東京地下鉄,丸ノ内線（１）,西新宿,東京都,新宿区,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,南北線,麻布十番,東京都,港区,10,1.首都圏,東京地下鉄,日比谷線,虎ノ門ヒルズ,東京都,港区,30,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,荻窪,東京都,杉並区,12,1.首都圏,東京地下鉄,南北線,麻布十番,東京都,港区,45,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,神楽坂,東京都,新宿区,17,1.首都圏,東京地下鉄,銀座線,表参道,東京都,港区,25,1
1.首都圏,ICOCA,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,19,1.首都圏,東京地下鉄,丸ノ内線（１）,東京,東京都,千代田区,5,2
1.首都圏,Suica,1.首都圏,東京地下鉄,千代田線,赤坂,東京都,港区,14,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,35,2
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,有楽町,東京都,千代田区,19,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,25,68
