station_name,betweenness_centrality,lines
Ayase,0.013986013986013986,['Chiyoda']
Tatsumi,0.013986013986013986,['Yurakucho']
Chikatetsu-narimasu,0.013986013986013986,"['Fukutoshin', 'Yurakucho']"
Tawaramachi,0.013986013986013986,['Ginza']
Yoyogi-koen,0.013986013986013986,['Chiyoda']
Shimo,0.013986013986013986,['Namboku']
Nakano-fujimicho,0.013986013986013986,['Marunouchi']
Minami-Asagaya,0.013986013986013986,['Marunouchi']
Kinshicho,0.013986013986013986,['Hanzomon']
Ebisu,0.013986013986013986,['Hibiya']
Shirokanedai,0.013986013986013986,['Namboku']
Baraki-nakayama,0.013986013986013986,['Tozai']
Higashi-ginza,0.013002277278845778,['Hibiya']
Minami-senju,0.010473094980137234,['Hibiya']
Nogizaka,0.010134935487048162,['Chiyoda']
Hatchobori,0.007594262331778337,['Hibiya']
Tsukiji,0.006807511737089204,['Hibiya']
Nishi-funabashi,0.0,['Tozai']
Yoyogi-uehara,0.0,['Chiyoda']
Nakano,0.0,['Tozai']
Akabane-iwabuchi,0.0,['Namboku']
Meguro,0.0,['Namboku']
Honancho,0.0,['Marunouchi']
Ogikubo,0.0,['Marunouchi']
Naka-meguro,0.0,['Hibiya']
Oshiage,0.0,['Hanzomon']
Asakusa,0.0,['Ginza']
Gaiemmae,0.0,['Ginza']
Shibuya,0.0,"['Fukutoshin', 'Ginza', 'Hanzomon']"
Wakoshi,0.0,"['Fukutoshin', 'Yurakucho']"
Kita-ayase,0.0,['Chiyoda']
Shin-kiba,0.0,['Yurakucho']
